[tuimon] frame 197ms | push:121 wait:1 snap:74 encode:1 | 40KB
[tuimon] frame 97ms | push:44 wait:2 snap:51 encode:1 | 44KB
[tuimon] frame 48ms | push:15 wait:1 snap:31 encode:1 | 48KB
[tuimon] frame 46ms | push:13 wait:2 snap:29 encode:1 | 51KB
[tuimon] frame 52ms | push:14 wait:1 snap:36 encode:1 | 51KB
[tuimon] frame 70ms | push:16 wait:1 snap:49 encode:5 | 52KB
[tuimon] frame 50ms | push:13 wait:1 snap:36 encode:1 | 55KB
[tuimon] frame 45ms | push:13 wait:0 snap:31 encode:1 | 55KB
[tuimon] frame 47ms | push:13 wait:0 snap:32 encode:1 | 55KB
[tuimon] frame 53ms | push:13 wait:1 snap:38 encode:1 | 55KB
[tuimon] frame 44ms | push:11 wait:2 snap:29 encode:2 | 56KB
[tuimon] frame 44ms | push:12 wait:2 snap:28 encode:2 | 57KB
[tuimon] frame 56ms | push:15 wait:0 snap:39 encode:1 | 61KB
[tuimon] frame 52ms | push:11 wait:2 snap:37 encode:2 | 60KB
[tuimon] frame 51ms | push:14 wait:2 snap:33 encode:2 | 63KB
[tuimon] frame 50ms | push:15 wait:1 snap:33 encode:1 | 65KB
[tuimon] frame 56ms | push:13 wait:1 snap:40 encode:2 | 65KB
[tuimon] frame 44ms | push:12 wait:2 snap:29 encode:1 | 66KB
[tuimon] frame 53ms | push:12 wait:2 snap:38 encode:1 | 66KB
[tuimon] frame 49ms | push:12 wait:1 snap:36 encode:2 | 69KB
[tuimon] frame 45ms | push:12 wait:1 snap:31 encode:2 | 69KB
[tuimon] frame 47ms | push:13 wait:2 snap:31 encode:2 | 72KB
[tuimon] frame 47ms | push:12 wait:1 snap:32 encode:2 | 71KB
[tuimon] frame 49ms | push:12 wait:2 snap:33 encode:2 | 72KB
[tuimon] frame 45ms | push:11 wait:1 snap:30 encode:2 | 74KB
[tuimon] frame 48ms | push:13 wait:1 snap:34 encode:1 | 74KB
[tuimon] frame 59ms | push:14 wait:2 snap:42 encode:1 | 77KB
[tuimon] frame 54ms | push:12 wait:2 snap:39 encode:1 | 79KB
[tuimon] frame 55ms | push:11 wait:0 snap:42 encode:2 | 77KB
[tuimon] frame 54ms | push:12 wait:1 snap:39 encode:2 | 77KB
[tuimon] frame 50ms | push:12 wait:2 snap:34 encode:2 | 78KB
[tuimon] frame 49ms | push:12 wait:1 snap:33 encode:2 | 79KB
[tuimon] frame 48ms | push:12 wait:0 snap:33 encode:2 | 80KB
[tuimon] frame 49ms | push:12 wait:2 snap:34 encode:2 | 80KB
[tuimon] frame 45ms | push:12 wait:1 snap:30 encode:2 | 80KB
[tuimon] frame 70ms | push:15 wait:1 snap:49 encode:5 | 82KB
[tuimon] frame 59ms | push:18 wait:2 snap:37 encode:2 | 80KB
[tuimon] frame 60ms | push:15 wait:2 snap:42 encode:2 | 82KB
[tuimon] frame 55ms | push:12 wait:0 snap:41 encode:2 | 82KB
[tuimon] frame 55ms | push:13 wait:0 snap:40 encode:2 | 81KB
[tuimon] frame 53ms | push:13 wait:1 snap:38 encode:2 | 81KB
[tuimon] frame 64ms | push:14 wait:1 snap:32 encode:16 | 81KB
[tuimon] frame 73ms | push:15 wait:2 snap:35 encode:22 | 82KB
[tuimon] frame 49ms | push:12 wait:2 snap:33 encode:2 | 81KB
[tuimon] frame 69ms | push:15 wait:2 snap:50 encode:3 | 82KB
[tuimon] frame 47ms | push:12 wait:1 snap:32 encode:1 | 81KB
[tuimon] frame 58ms | push:14 wait:1 snap:40 encode:2 | 82KB
[tuimon] frame 55ms | push:12 wait:1 snap:41 encode:2 | 83KB
[tuimon] frame 63ms | push:12 wait:0 snap:37 encode:15 | 84KB
[tuimon] frame 52ms | push:12 wait:1 snap:37 encode:2 | 83KB
[tuimon] frame 64ms | push:13 wait:1 snap:34 encode:16 | 84KB
[tuimon] frame 48ms | push:12 wait:2 snap:31 encode:3 | 84KB
[tuimon] frame 49ms | push:12 wait:2 snap:33 encode:2 | 84KB
[tuimon] frame 64ms | push:14 wait:2 snap:34 encode:15 | 85KB
[tuimon] frame 47ms | push:12 wait:1 snap:31 encode:2 | 85KB
[tuimon] frame 66ms | push:15 wait:1 snap:48 encode:2 | 86KB
[tuimon] frame 72ms | push:13 wait:2 snap:41 encode:16 | 86KB
[tuimon] frame 54ms | push:12 wait:2 snap:38 encode:3 | 86KB
[tuimon] frame 60ms | push:12 wait:2 snap:32 encode:15 | 87KB
[tuimon] frame 73ms | push:12 wait:0 snap:44 encode:17 | 86KB
[tuimon] frame 68ms | push:12 wait:1 snap:40 encode:16 | 86KB
[tuimon] frame 63ms | push:12 wait:0 snap:34 encode:16 | 87KB
[tuimon] frame 49ms | push:13 wait:2 snap:33 encode:1 | 87KB
[tuimon] frame 70ms | push:13 wait:0 snap:34 encode:22 | 87KB
[tuimon] frame 76ms | push:16 wait:2 snap:43 encode:15 | 87KB
[tuimon] frame 70ms | push:13 wait:2 snap:33 encode:22 | 86KB
[tuimon] frame 67ms | push:12 wait:1 snap:32 encode:22 | 87KB
[tuimon] frame 72ms | push:13 wait:1 snap:44 encode:15 | 87KB
[tuimon] frame 71ms | push:16 wait:1 snap:39 encode:15 | 88KB
[tuimon] frame 78ms | push:14 wait:1 snap:42 encode:22 | 87KB
[tuimon] frame 71ms | push:12 wait:0 snap:43 encode:16 | 88KB
[tuimon] frame 70ms | push:13 wait:2 snap:40 encode:15 | 87KB
[tuimon] frame 75ms | push:12 wait:2 snap:40 encode:22 | 87KB
[tuimon] frame 73ms | push:12 wait:0 snap:40 encode:21 | 87KB
[tuimon] frame 73ms | push:12 wait:2 snap:39 encode:21 | 88KB
[tuimon] frame 71ms | push:12 wait:1 snap:37 encode:21 | 87KB
[tuimon] frame 64ms | push:13 wait:1 snap:34 encode:17 | 86KB
[tuimon] frame 69ms | push:13 wait:1 snap:33 encode:23 | 87KB
[tuimon] frame 60ms | push:13 wait:0 snap:45 encode:2 | 88KB
[tuimon] frame 71ms | push:12 wait:2 snap:42 encode:15 | 87KB
[tuimon] frame 64ms | push:13 wait:0 snap:49 encode:1 | 87KB
[tuimon] frame 75ms | push:13 wait:1 snap:38 encode:23 | 87KB
[tuimon] frame 72ms | push:13 wait:0 snap:38 encode:22 | 87KB
[tuimon] frame 48ms | push:12 wait:2 snap:33 encode:2 | 86KB
[tuimon] frame 69ms | push:13 wait:2 snap:33 encode:22 | 87KB
[tuimon] frame 85ms | push:14 wait:1 snap:48 encode:21 | 86KB
[tuimon] frame 59ms | push:12 wait:2 snap:31 encode:15 | 86KB
[tuimon] frame 76ms | push:15 wait:2 snap:41 encode:19 | 86KB
[tuimon] frame 75ms | push:13 wait:1 snap:38 encode:22 | 87KB
[tuimon] frame 66ms | push:13 wait:1 snap:36 encode:16 | 86KB
[tuimon] frame 75ms | push:14 wait:2 snap:38 encode:22 | 86KB
[tuimon] frame 55ms | push:14 wait:2 snap:37 encode:2 | 87KB
[tuimon] frame 64ms | push:12 wait:2 snap:34 encode:16 | 86KB
[tuimon] frame 50ms | push:13 wait:2 snap:32 encode:3 | 86KB
[tuimon] frame 89ms | push:14 wait:2 snap:47 encode:26 | 85KB
[tuimon] frame 66ms | push:13 wait:2 snap:35 encode:16 | 86KB
[tuimon] frame 77ms | push:13 wait:2 snap:39 encode:23 | 85KB
[tuimon] frame 100ms | push:14 wait:1 snap:61 encode:23 | 86KB
[tuimon] frame 64ms | push:13 wait:2 snap:32 encode:17 | 85KB
[tuimon] frame 62ms | push:13 wait:1 snap:32 encode:16 | 85KB
[tuimon] frame 49ms | push:15 wait:1 snap:32 encode:1 | 85KB
[tuimon] frame 63ms | push:14 wait:1 snap:33 encode:16 | 85KB
[tuimon] frame 60ms | push:13 wait:1 snap:32 encode:14 | 85KB
[tuimon] frame 47ms | push:13 wait:1 snap:30 encode:3 | 85KB
[tuimon] frame 56ms | push:13 wait:2 snap:39 encode:2 | 85KB
[tuimon] frame 73ms | push:16 wait:1 snap:38 encode:17 | 84KB
[tuimon] frame 67ms | push:12 wait:2 snap:38 encode:16 | 85KB
[tuimon] frame 69ms | push:14 wait:2 snap:52 encode:1 | 85KB
[tuimon] frame 82ms | push:12 wait:2 snap:52 encode:16 | 85KB
[tuimon] frame 78ms | push:17 wait:2 snap:37 encode:22 | 85KB
[tuimon] frame 76ms | push:13 wait:1 snap:46 encode:16 | 84KB
[tuimon] frame 62ms | push:12 wait:2 snap:47 encode:2 | 85KB
[tuimon] frame 56ms | push:12 wait:2 snap:33 encode:10 | 84KB
[tuimon] frame 50ms | push:12 wait:1 snap:35 encode:2 | 84KB
[tuimon] frame 88ms | push:14 wait:0 snap:47 encode:26 | 86KB
[tuimon] frame 79ms | push:13 wait:2 snap:44 encode:21 | 85KB
[tuimon] frame 65ms | push:16 wait:1 snap:47 encode:2 | 85KB
[tuimon] frame 163ms | push:83 wait:1 snap:54 encode:25 | 84KB
[tuimon] frame 75ms | push:17 wait:1 snap:40 encode:16 | 85KB
[tuimon] frame 73ms | push:16 wait:2 snap:36 encode:18 | 85KB
[tuimon] frame 69ms | push:13 wait:2 snap:37 encode:18 | 85KB
[tuimon] frame 49ms | push:15 wait:2 snap:31 encode:1 | 85KB
[tuimon] frame 67ms | push:14 wait:2 snap:35 encode:17 | 85KB
[tuimon] frame 84ms | push:20 wait:1 snap:41 encode:21 | 85KB
[tuimon] frame 62ms | push:12 wait:2 snap:46 encode:2 | 85KB
[tuimon] frame 72ms | push:13 wait:2 snap:43 encode:15 | 85KB
[tuimon] frame 101ms | push:16 wait:1 snap:39 encode:45 | 83KB
[tuimon] frame 57ms | push:14 wait:0 snap:41 encode:2 | 85KB
[tuimon] frame 57ms | push:15 wait:1 snap:39 encode:2 | 84KB
[tuimon] frame 55ms | push:13 wait:2 snap:38 encode:2 | 84KB
[tuimon] frame 53ms | push:12 wait:0 snap:38 encode:2 | 84KB
[tuimon] frame 66ms | push:13 wait:2 snap:35 encode:16 | 84KB
[tuimon] frame 74ms | push:17 wait:0 snap:38 encode:18 | 84KB
[tuimon] frame 57ms | push:13 wait:1 snap:42 encode:1 | 84KB
[tuimon] frame 72ms | push:14 wait:2 snap:36 encode:20 | 84KB
[tuimon] frame 69ms | push:13 wait:0 snap:34 encode:22 | 85KB
[tuimon] frame 66ms | push:12 wait:1 snap:32 encode:21 | 85KB
[tuimon] frame 67ms | push:13 wait:2 snap:37 encode:16 | 83KB
[tuimon] frame 89ms | push:13 wait:2 snap:35 encode:40 | 84KB
[tuimon] frame 71ms | push:12 wait:2 snap:37 encode:20 | 85KB
[tuimon] frame 49ms | push:13 wait:2 snap:33 encode:1 | 84KB
